type,table_schema,table_name,column_name,data_type,is_nullable,column_default
FUNCTION,public,count_sales_optimized,"search_term text DEFAULT ''::text, filter_status text DEFAULT N",integer,null,null
FUNCTION,public,get_setoran_filter_options,,json,null,null
FUNCTION,public,get_toko_filter_options_simple,,"TABLE(filter_type text, filter_value text, filter_label text, filter_count bigint, metadata json)",null,null
FUNCTION,public,get_toko_search_suggestions_simple,"search_term text, max_results integer DEFAULT 5","TABLE(suggestion_type text, suggestion_value text, suggestion_label text, metadata json)",null,null
FUNCTION,public,search_penagihan_optimized,"search_query text DEFAULT ''::text, p_limit integer DEFAULT 20,","TABLE(id_penagihan integer, total_uang_diterima numeric, metode_pembayaran text, ada_potongan boolean, dibuat_pada timestamp with time zone, diperbarui_pada timestamp with time zone, toko_data json, detail_penagihan_data json, potongan_penagihan_data json, total_count bigint)",null,null
FUNCTION,public,search_pengiriman_optimized,"search_term text DEFAULT ''::text, filter_sales integer DEFAULT","TABLE(id_pengiriman integer, tanggal_kirim date, dibuat_pada timestamp without time zone, diperbarui_pada timestamp without time zone, id_toko integer, nama_toko character varying, kecamatan character varying, kabupaten character varying, link_gmaps text, id_sales integer, nama_sales character varying, nomor_telepon character varying, total_quantity bigint, detail_pengiriman json, total_count bigint)",null,null
FUNCTION,public,search_pengiriman_simple,"search_term text DEFAULT ''::text, filter_sales integer DEFAULT","TABLE(id_pengiriman integer, tanggal_kirim date, dibuat_pada timestamp without time zone, diperbarui_pada timestamp without time zone, id_toko integer, nama_toko character varying, kecamatan character varying, kabupaten character varying, link_gmaps text, id_sales integer, nama_sales character varying, nomor_telepon character varying, total_quantity bigint, detail_pengiriman json, total_count bigint)",null,null
FUNCTION,public,search_sales_optimized,"search_term text DEFAULT ''::text, page_offset integer DEFAULT ","TABLE(id_sales integer, nama_sales character varying, nomor_telepon character varying, status_aktif boolean, dibuat_pada timestamp without time zone, diperbarui_pada timestamp without time zone, stats jsonb)",null,null
FUNCTION,public,search_toko_simple,"search_term text DEFAULT ''::text, filter_status boolean DEFAUL","TABLE(id_toko integer, nama_toko character varying, kecamatan character varying, kabupaten character varying, no_telepon character varying, link_gmaps text, id_sales integer, status_toko boolean, dibuat_pada timestamp without time zone, diperbarui_pada timestamp without time zone, barang_terkirim bigint, detail_barang_terkirim json[], barang_terbayar bigint, detail_barang_terbayar json[], sisa_stok bigint, detail_sisa_stok json[], total_count bigint)",null,null
FUNCTION,public,trigger_refresh_penagihan_views,,trigger,null,null
FUNCTION,public,trigger_refresh_pengiriman_mv,,trigger,null,null
FUNCTION,public,trigger_refresh_produk_views,,trigger,null,null
FUNCTION,public,trigger_refresh_sales_aggregates,,trigger,null,null
FUNCTION,public,trigger_refresh_toko_aggregates,,trigger,null,null
TABLE_COLUMN,public,detail_penagihan,dibuat_pada,timestamp without time zone,YES,CURRENT_TIMESTAMP
TABLE_COLUMN,public,detail_penagihan,diperbarui_pada,timestamp without time zone,YES,CURRENT_TIMESTAMP
